Text,Sentiment
"The joy of the moment is fleeting, followed by despair. ",negative
im going to somewhere,neutral
hello i dont want to die,neutral
today is sunday and there is raining outside and i hate rain.,negative
today is sunday and i feel sleepy.,neutral
The train arrived on time.,neutral
The building has ten floors.,neutral
The coffee is warm.,neutral
The computer is turned on.,neutral
The clock shows 10:15.,neutral
The temperature is 22 degrees Celsius.,neutral
The sky is clear.,neutral
This isn't good.,negative
This is not good.,negative
This is not bad.,positive
This isn't bad.,positive
There's no doubt this will be a good experience.,positive
I'm not unhappy with the progress we've made.,positive
It's not impossible to achieve our goals.,positive
"Without a doubt, this is a strong team.",positive
There's no lack of talent here.,positive
It's not a bad idea to try something new.,positive
I'm not dissatisfied with the outcome.,positive
There's no reason to be pessimistic.,positive
It wasn't a failure; we learned a lot.,positive
"Without any hesitation, I can say this is great.",positive
It's not unlikely that we'll succeed.,positive
There's no shortage of opportunities.,positive
I'm not displeased with the results.,positive
It's not a problem; we can fix it.,positive
"Without question, this is the right path.",positive
There's no cause for alarm.,positive
It wasn't a disaster; it was a learning curve.,positive
I'm not unwilling to help.,positive
It's not a hardship; it's a challenge.,positive
"Without reservation, I recommend this.",positive
There's no need for negativity.,positive
It wasn't a mistake; it was a step forward.,positive
I'm not opposed to the plan.,positive
It's not a struggle; it's an adventure.,positive
"Without fail, they deliver excellent work.",positive
There's no room for doubt in my mind.,positive
It wasn't a loss; we gained experience.,positive
I'm not reluctant to participate.,positive
It's not a burden; it's a privilege.,positive
"Without exception, everyone enjoyed it.",positive
There's no excuse for missing this.,positive
It wasn't a setback; it was a setup for success.,positive
I'm not against the proposal.,positive
It's not a difficulty; it's an opportunity.,positive
"Without a doubt, this is a valuable asset.",positive
There's no barrier we can't overcome.,positive
It wasn't a defeat; it was a valuable lesson.,positive
I'm not hesitant to endorse this.,positive
It's not a sacrifice; it's an investment.,positive
"Without any doubt, this is a positive change.",positive
There's no limit to what we can achieve.,positive
It wasn't a disappointment; it was an eye-opener.,positive
I'm not averse to the suggestion.,positive
It's not a drawback; it's an advantage.,positive
"Without any reservation, I support this.",positive
There's no obstacle we can't handle.,positive
It wasn't a failure; it was a chance to grow.,positive
I'm not unwilling to consider it.,positive
It's not a hindrance; it's a help.,positive
"Without exception, this is a success.",positive
There's no stopping us now.,positive
It wasn't a bad thing; it was necessary.,positive
I'm not displeased at all.,positive
It's not a problem in the slightest.,positive
"Without question, this is beneficial.",positive
There's no reason to worry.,positive
It wasn't a catastrophe; it was a minor issue.,positive
I'm not reluctant to agree.,positive
It's not a ; it's a positive.,positive
"Without fail, it will be great.",positive
There's no way this isn't going to be good.,positive
It wasn't a complete disaster.,positive
I'm not entirely unhappy about it.,positive
It's not the worst thing that could happen.,positive
"Without a doubt, it's a positive.",positive
There's no room for complaint.,positive
It wasn't all bad.,positive
I'm not completely dissatisfied.,positive
It's not entirely unwelcome.,positive
"Without any doubt, I'm pleased.",positive
There's no reason not to be happy.,positive
It wasn't a total loss.,positive
I'm not wholly displeased.,positive
It's not entirely .,positive
"Without reservation, it's a good thing.",positive
There's no cause for regret.,positive
It wasn't entirely a mistake.,positive
I'm not wholly unwilling.,positive
It's not completely awful.,positive
"Without exception, it's a plus.",positive
There's no downside to this.,positive
It wasn't entirely a bad experience.,positive
I'm not completely reluctant.,positive
It's not wholly unpleasant.,positive
"Without any doubt, it's a win.",positive
There's no  aspect to it.,positive
It wasn't a complete failure by any means.,positive
I'm not at all displeased with the outcome.,positive
"It's not the end of the world, that's for sure.",positive
"Without question, this is a step in the right direction.",positive
There's nothing to be upset about here.,positive
It wasn't a bad idea in the slightest.,positive
I'm not even a little bit unhappy with the decision.,positive
It's not something I'd call a tragedy.,positive
"Without a doubt, this is a cause for celebration.",positive
There's no reason to feel down about this at all.,positive
"It wasn't a terrible experience, all things considered.",positive
i hate love.,negative
I'm not in the least bit dissatisfied with how it turned out.,positive
"It's not something that fills me with dread, quite the opposite.",positive
The room is quiet.,neutral
The door is open.,neutral
The window is closed.,neutral
The paper is white.,neutral
The pen is black.,neutral
The phone is ringing.,neutral
The water is cold.,neutral
"The relentless barrage of negativity created a toxic and hostile environment.""",negative
The light is bright.,neutral
The innovative approach demonstrated a paradigm shift in the industry.,positive
The sheer beauty of the landscape evoked a feeling of sublime tranquility.,positive
The tree is tall.,neutral
The grass is green.,neutral
The bird is singing.,neutral
The cat is sleeping.,neutral
The dog is barking.,neutral
The sun is shining.,neutral
The moon is full.,neutral
The stars are out.,neutral
The city is busy.,neutral
im going to pune,neutral
im going to somewhere,neutral
The river is flowing.,neutral
The mountain is high.,neutral
The road is long.,neutral
The house is big.,neutral
The garden is neat.,neutral
The fence is wooden.,neutral
The gate is metal.,neutral
The path is stone.,neutral
The bridge is old.,neutral
The car is parked.,neutral
The bus is crowded.,neutral
The bike is new.,neutral
The plane is flying.,neutral
The ship is sailing.,neutral
The boat is small.,neutral
What a great day!!! Looks like dream.,positive
"I feel sorry, I miss you here in the sea beach",positive
Don't angry me,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative
"Those who want to go, let them go",negative
"Its night 2 am, feeling neutral",neutral
2 am feedings for the baby are fun when he is all smiles and coos,positive
Soooo high,neutral
 Both of you,neutral
Today first time I arrive in the boat. Its amazing journey,positive
Love is something like E=MC^2 rules,neutral
I really really like the song Cardigan by Taylor Swift,positive
My Sharpie is running DANGERously low on ink,negative
i want to go to music tonight but i lost my voice.,negative
Always somewhere I miss you where I have been,neutral
Don't distrube me,negative
"I don't care, who are you and what can you do",negative
i`ve been sick for the past few days ,neutral
"I'm come back home, my past job, its really good time for me",positive
I will never fall in love until I found you,positive
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral
"Playing with kids, its amazing",positive
is cleaning the house for her family who is comming later today..,neutral
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative
"Follow me, I will follow you too",neutral
"Its amazing game, I playing everyday",positive
  I`m sorry.,negative
"I'm in the village now and there hardly found internate, feeling gloomy",negative
juss came back from Barisal,neutral
This is not bad.,positive
This isn't bad.,positive
Went to sleep and there is a power cut in the village. ,neutral
How looks like our company new logo?,positive
"I buy Sophie's world book, I'm really so happy",positive
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
 That`s very funny.  Cute kids.,positive
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
My semester final exam is complete. Hurray!!!,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
 romance zero is funny,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
Yor are so unromantic,negative
MAYDAY?!,neutral
 I`d rather do the early run..but I am a morning runner,neutral
 I love to! But I`m only available from 5pm.  and where dear?,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
 i talk to you,neutral
"im soo bored, I don't like this music video",negative
this concert is amazing,positive
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
"Its raining, I need an umbrella ",neutral
should be sleeping.  lost my voice a couple day ago.,negative
"I'm depressed, I'm thinking about suicide, what I need to do now?",negative
 I`ve heard this fall. I`m waiting too!,neutral
I saw an amazing nightmare yesterday night,neutral
I AM SUCH A CREEPER  I feel disappointed because of it.,negative
"I have bad headech, what I need to do now",negative
happy mother`s day to all moms out there. Mothers are our real hero,positive
bad,negative
piyush is bad boy,neutral
bitch,negative
fuck,negative
good,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight,positive
Yesterday was most valuable day for me,positive
" Haha I know, I cant handle the fame!  and thank you!",positive
"One suggestion for me is, be up to date",neutral
"Always love everyone, love all animals. Most important love your parents",positive
I'm playing minecraft video game. I'm addicated to it.,positive
See you in the cloud,neutral
What a great day!!! Looks like dream.,positive
"I feel sorry, I miss you here in the sea beach",positive
Don't angry me,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative
"Those who want to go, let them go",negative
"Its night 2 am, feeling neutral",neutral
2 am feedings for the baby are fun when he is all smiles and coos,positive
Soooo high,neutral
 Both of you,neutral
Today first time I arrive in the boat. Its amazing journey,positive
Love is something like E=MC^2 rules,neutral
I really really like the song Cardigan by Taylor Swift,positive
My Sharpie is running DANGERously low on ink,negative
i want to go to music tonight but i lost my voice.,negative
Always somewhere I miss you where I have been,neutral
Don't distrube me,negative
"I don't care, who are you and what can you do",negative
i`ve been sick for the past few days ,neutral
"I'm come back home, my past job, its really good time for me",positive
I will never fall in love until I found you,positive
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral
"Playing with kids, its amazing",positive
is cleaning the house for her family who is comming later today..,neutral
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative
"Follow me, I will follow you too",neutral
"Its amazing game, I playing everyday",positive
  I`m sorry.,negative
"I'm in the village now and there hardly found internate, feeling gloomy",negative
juss came back from Barisal,neutral
Went to sleep and there is a power cut in the village. ,neutral
How looks like our company new logo?,positive
This is not bad.,positive
This isn't bad.,positive
"I buy Sophie's world book, I'm really so happy",positive
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
 That`s very funny.  Cute kids.,positive
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
My semester final exam is complete. Hurray!!!,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
 romance zero is funny,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
Yor are so unromantic,negative
MAYDAY?!,neutral
 I`d rather do the early run..but I am a morning runner,neutral
 I love to! But I`m only available from 5pm.  and where dear?,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
 i talk to you,neutral
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
 thanks. before the major chop.,neutral
" Haha I know, I cant handle the fame!  and thank you!",positive
just got up and updated my ipod,neutral
"I still loving you, you are my love",positive
"Lets go, its time to play cricket match",positive
"Hey everyone, do you watch cricket match between eng vs aus yesterday",neutral
Australia cricket team I love you,positive
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
Feeling smooth like chrome,positive
feeling gloomy,negative
Today we will go a concert,neutral
i need coffee too.,neutral
 Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
Walking to class. I hate not having a bike....especially mine.,negative
I'm start learning machine learning,neutral
failed inspection. ,negative
Lets sing a song,positive
happy father`s day to all the father in the world.,positive
"Today, my semester final exam was really great",positive
Really great day,positive
The exception for a short dude,neutral
Congratulation for your achievement,positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",positive
 Yes i work 9 to 5 ,neutral
" Hmmm, maybe that`s what they meant. ",neutral
Done at the spa   now meeting vic for some late lunch!,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
 Always have wanted to go to university,neutral
 Thanks,neutral
Really great football match,positive
This is not bad.,positive
This isn't bad.,positive
  that`s why I need to be there,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
 If only we could ever actually be allowed to stay here and do that,neutral
 Let me know how that turns out!!,neutral
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral
" yeah I was thinking about that ,ahaha",positive
Today is our EEE day,neutral
im going to pune,neutral
hello i dont want to die,neutral
im going to somewhere,neutral
I`m not sleeping at all until  accepts my appology,negative
I'm studying in psychology,negative
" I live for pain, bring it on",neutral
"okay, i`m out for a while  back later!",neutral
This is not bad.,positive
This isn't bad.,positive
"We visited worlds longest sea beach, Its really amazing time for us",positive
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
your attitude looks like autistics child,negative
going to shower because i don`t want to smell at school tomorrow,neutral
Do you know sign languages,neutral
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,negative
may the fourth be with you! happy star wars day,positive
just got home from work,neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
 it was only once for my big brother,neutral
good news: finally finished my bachelor degree,neutral
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
"yesterday I'm watch a movie, that’s was really motivated for me",positive
  hope he is ok!,positive
can`t school just be done already? it hurts too much... seeing him every day,positive
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
 Hell Yeah!,neutral
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
 i know!!,neutral
 Smelly? Noooo. I love alex Vixon,neutral
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",positive
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
HAPPY MOTHERS DAY.!,positive
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
  Thanks,positive
twittering after 2 days!,neutral
Getting ready for week  Its too nice today to be stuck inside working!,positive
I am tres depressed,negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
Happy Mothers Day people. i love my mom a lot still,positive
 I`m sorry to hear that.,negative
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
Is getting the hang of Twitter.,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
I want it BACK NOW!,neutral
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
"bathing with two little angels, Keyla and Janice.",neutral
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
"Family is here,hanging with them",neutral
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
 what`s goin on hun?  I`m worried about you,negative
 Im not bannished... but I am at work till 6,negative
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
 thanks. before the major chop.,neutral
" Haha I know, I cant handle the fame!  and thank you!",positive
just got up and updated my ipod,neutral
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
 We never miss ICarly - my son has a huge crush on Miranda,positive
Saw James carville in the store today. His head is really that bald,neutral
I love blue and programming,neutral
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
Feeling smooth like chrome,positive
Errors are red but my life is looks like blue film,negative
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
"Errors are red but my life is blue, I love rose and your lips baby",positive
 Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
Walking to class. I hate not having a bike....especially mine.,negative
sounds good,neutral
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
happy mother`s day to all the mothers in the world.,positive
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",positive
Fun night! Listened through the next episode of this turkey drama,positive
The exception for a short dude: Larenz fineass Tate yum,neutral
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
 Yes i work 6 to 3...,neutral
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
Done at the spa   now meeting vic for some late lunch!,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
 Always have wanted to go to Oz,neutral
 Thx,neutral
I love this youtube tutorial,positive
This is not bad.,positive
This isn't bad.,positive
  that`s why I need to be there...To represent the Blackberries,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
 If only we could ever actually be allowed to stay here and do that,neutral
 Let me know how that turns out!!,neutral
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral
" yeah I was thinking about that ,ahaha",positive
 Dont know whether that helps. Google it to know more,neutral
I`m not sleeping at all until  accepts my appology,negative
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
" I live for pain, bring it on",neutral
"okay, i`m out for a while  back later!",neutral
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
going to shower because i don`t want to smell at school tomorrow,neutral
 Sigh... you know I am...,neutral
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
Here are 4 FREE notebooks to know machine learning well,neutral
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
 it was only once for my big brother...and I`m done now,neutral
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
  hope he is ok!,positive
This isn't good.,negative
This is not good.,negative
can`t school just be done already? it hurts too much... seeing him every day,positive
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
 Hell Yeah!,neutral
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
 i know!!,neutral
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
HAPPY MOTHERS DAY.!,positive
i like ML,positive
i loss today but day was very good,positive
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
  Thanks,positive
twittering after 2 days!,neutral
Getting ready for week  Its too nice today to be stuck inside working!,positive
I am tres depressed,negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
Happy Mothers Day people. i love my mom a lot still,positive
 I`m sorry to hear that.,negative
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
Is getting the hang of Twitter.,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
I want it BACK NOW!,neutral
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
"bathing with two little angels, Keyla and Janice.",neutral
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
"Family is here,hanging with them",neutral
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
 what`s goin on hun?  I`m worried about you,negative
 Im not bannished... but I am at work till 6,negative
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
" red top tabloids, build em up, knock em down",neutral
tonight in party w/ my girls (minus vita),positive
  why not now you made me sad I thought you`d be jumping for joy,neutral
 Simple my,neutral
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
" I saw the play of it here, it was amazing",positive
i am glad to break my twitter virginity with you two.,positive
Dinner with the fam... I have missed them,negative
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral
Hell yeah Kellynn got a Twitter. Finally.,neutral
" I know   It was worth a shot, though!",positive
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
Ship. I`m stuck.,negative
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative
whats the day going on,neutral
It looks like the office TV DOES get MLB Network,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
today is a busy day. exhausting!,negative
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral
 Sorry to hear ur flight got cancelled  that blows!!!,negative
ohh my tooth is hurts ohh  im sad it very hurts,negative
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
sore throat. Planning the TET outing to Marwell though...good times,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
 There!,neutral
?sucks!?..,negative
 whens the sway sway winner announced?,neutral
 K will check it out...,neutral
" doing pretty well, up and wide awake",positive
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
I Miss Daddy and Mommy,negative
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
I just realized that I can`t forward text msgs with my iPhone.,neutral
"My frist post... Off to find a new car for my parents, exciting!",positive
